"Tipologia";"Denominazione";"longitudine";"Indirizzo";"gid";"Latitudine";"Comune";
"Pubblici";"Auditorium Parco della Musica - Sala Santa Cecilia";"12.4751900000";"Viale Pietro De Coubertin, 30";"63";"41.9291900000";"Roma";
"Pubblici";"Auditorium Parco della Musica - Sala Sinopoli";"12.4747400000";"Viale Pietro De Coubertin, 30";"64";"41.9287550000";"Roma";
"Pubblici";"Auditorium Parco della Musica - Sala Stampa";"12.4740310000";"Viale Pietro De Coubertin, 30";"65";"41.9291580000";"Roma";
"Pubblici";"Auditorium Pineta Sacchetti";"12.4258708066";"Via Albergotti, snc";"66";"41.9054272760";"Roma";
"Privati federati";"B&B Raggio di Sole";"12.2434000000";"Via IV Novembre, 116";"67";"42.1574000000";"Trevignano Romano";
"Privati federati";"B6B La Cerquetta";"12.6255890000";"Via Salvatoretto, 182";"68";"42.0035610000";"Fonte Nuova";
"Pubblici";"Banca del Tempo - Incis Pisana";"12.4101650884";"Via Baldassarre Longhena, 98";"69";"41.8697883215";"Roma";
"Privati federati";"Bar Casa Comune";"12.0845000000";"Lungomare marina di palo laziale";"70";"41.9426000000";"Ladispoli";
"Privati federati";"Bar Centrale";"12.5041680000";"Via Rianese 142";"71";"42.1003560000";"Riano";
"Pubblici";"Bar Claudio&Ewa";"12.4565000000";"via delle fornaci 13";"72";"41.8997000000";"Roma";
"Privati federati";"Bar della Piazza";"12.5005480000";"Piazza Vittorio Veneto";"73";"42.1256900000";"Castelnuovo di Porto";
"Privati federati";"Bar Fortini";"12.6569890000";"Corso Giacomo Matteotti, 16";"74";"41.7303180000";"Albano Laziale";
"Pubblici";"Bar Free Holidays";"12.5496207000";"Viale Irpinia, 27";"75";"41.8924760000";"Roma";
"Pubblici";"Bar Friends";"12.4748665000";"Via della Scrofa, 60";"76";"41.9005683000";"Roma";
"Privati federati";"Bar Gelateria Fiocco di Neve";"12.5382490000";"Via F. Pasinetti, 22/26";"77";"41.9620420000";"Roma";
"Privati federati";"Bar Genus";"12.5039800000";"Via San Martino Della Battaglia 14";"78";"41.9053150000";"Roma";
"Privati federati";"Bar Giolitti";"12.5293150000";"Largo orazi e curiazi, 23";"79";"41.8726760000";"Roma";
"Privati federati";"Bar Giolitti";"12.4668510000";"Piazza Martiri Di Belfiore";"80";"41.9149960000";"Roma";
"Privati federati";"Bar Il Tucano";"12.5220500000";"Via Dante Alighieri 44";"81";"42.0909370000";"Riano";
"Privati federati";"Bar Il Veliero";"12.5489610000";"Via Annia Regilla 133";"82";"41.8442390000";"Roma";
"Privati federati";"Bar Italia";"12.4513000000";"Via L. Ruspoli, 23";"83";"41.8576000000";"Roma";
"Privati federati";"Bar La caffettiera";"12.4792000000";"Piazza di Pietra, 65";"84";"41.8999000000";"Roma";
"Privati federati";"Bar La Licata";"12.4909050000";"Via Dei Serpenti, 165";"85";"41.8945770000";"Roma";
"Privati federati";"Bar La Terrazza";"12.9740936000";"Viale Giovanni XXIII";"86";"41.8876800000";"San Vito Romano";
"Privati federati";"Bar L'Appuntamento";"12.4844000000";"Via Flaminia, 1805";"87";"42.0347000000";"Roma";
